"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.","Município","Ano"
"2514602","São José do Bonfim (PB)","2841"
"2514651","São José do Brejo do Cruz (PB)","1535"
"2514701","São José do Sabugi (PB)","3902"
"2514800","São José dos Cordeiros (PB)","4057"
"2514909","São Mamede (PB)","7958"
"2515005","São Miguel de Taipu (PB)","6103"
"2515104","São Sebastião de Lagoa de Roça (PB)","10169"
"2515203","São Sebastião do Umbuzeiro (PB)","2907"
"2515302","Sapé (PB)","47311"
"2515401","São Vicente do Seridó (PB)","9241"
"2515500","Serra Branca (PB)","12256"
"2515609","Serra da Raiz (PB)","3382"
"2515708","Serra Grande (PB)","2887"
"2515807","Serra Redonda (PB)","7307"
"2515906","Serraria (PB)","6276"
"2515930","Sertãozinho (PB)","3545"
"2515971","Sobrado (PB)","6781"
"2516003","Solânea (PB)","31078"
"2516102","Soledade (PB)","12170"
"2516151","Sossêgo (PB)","2622"
"2516201","Sousa (PB)","62879"
"2516300","Sumé (PB)","14948"
"2516409","Tacima (PB)","9264"
"2516508","Taperoá (PB)","13205"
"2516607","Tavares (PB)","13493"
"2516706","Teixeira (PB)","11852"
"2516755","Tenório (PB)","2490"
"2516805","Triunfo (PB)","9132"
"2516904","Uiraúna (PB)","13603"
"2517001","Umbuzeiro (PB)","9058"
"2517100","Várzea (PB)","2037"
"2517209","Vieirópolis (PB)","4676"
"2517407","Zabelê (PB)","1855"
"2600054","Abreu e Lima (PE)","90571"
"2600104","Afogados da Ingazeira (PE)","33321"
"2600203","Afrânio (PE)","15216"
"2600302","Agrestina (PE)","20278"
"2600401","Água Preta (PE)","29057"
"2600500","Águas Belas (PE)","36082"
"2600609","Alagoinha (PE)","12701"
"2600708","Aliança (PE)","37155"
"2600807","Altinho (PE)","21961"
"2600906","Amaraji (PE)","21481"
"2601003","Angelim (PE)","9094"
"2601052","Araçoiaba (PE)","15564"
"2601102","Araripina (PE)","71817"
"2601201","Arcoverde (PE)","62315"
"2601300","Barra de Guabiraba (PE)","10910"
"2601409","Barreiros (PE)","38977"
"2601508","Belém de Maria (PE)","10441"
"2601607","Belém do São Francisco (PE)","19877"
"2601706","Belo Jardim (PE)","69637"
"2601805","Betânia (PE)","11315"
"2601904","Bezerros (PE)","58035"
"2602001","Bodocó (PE)","32106"
"2602100","Bom Conselho (PE)","42111"
"2602209","Bom Jardim (PE)","36998"
"2602308","Bonito (PE)","38088"
"2602407","Brejão (PE)","8939"
"2602506","Brejinho (PE)","7262"
"2602605","Brejo da Madre de Deus (PE)","38665"
"2602704","Buenos Aires (PE)","11961"
"2602803","Buíque (PE)","44896"
"2602902","Cabo de Santo Agostinho (PE)","156004"
"2603009","Cabrobó (PE)","27073"
"2603108","Cachoeirinha (PE)","17195"
"2603207","Caetés (PE)","24523"
"2603306","Calçado (PE)","11993"
"2603405","Calumbi (PE)","7101"
"2603454","Camaragibe (PE)","132215"
"2603504","Camocim de São Félix (PE)","15270"
"2603603","Camutanga (PE)","7872"
"2603702","Canhotinho (PE)","24961"
"2603801","Capoeiras (PE)","19540"
"2603900","Carnaíba (PE)","17569"
"2603926","Carnaubeira da Penha (PE)","10319"
"2604007","Carpina (PE)","64848"
"2604106","Caruaru (PE)","258176"
"2604155","Casinhas (PE)","13428"
"2604205","Catende (PE)","31180"
"2604304","Cedro (PE)","9615"
"2604403","Chã de Alegria (PE)","11131"
"2604502","Chã Grande (PE)","18760"
"2604601","Condado (PE)","22162"
"2604700","Correntes (PE)","17147"
"2604809","Cortês (PE)","13047"
"2604908","Cumaru (PE)","28442"
"2605004","Cupira (PE)","22416"
"2605103","Custódia (PE)","30060"
"2605152","Dormentes (PE)","14599"
"2605202","Escada (PE)","57377"
"2605301","Exu (PE)","32474"
"2605400","Feira Nova (PE)","18891"
"2605459","Fernando de Noronha (PE)","2096"
"2605509","Ferreiros (PE)","10714"
"2605608","Flores (PE)","20684"
"2605707","Floresta (PE)","25162"
"2605806","Frei Miguelinho (PE)","12846"
"2605905","Gameleira (PE)","24558"
"2606002","Garanhuns (PE)","119336"
"2606101","Glória do Goitá (PE)","27632"
"2606200","Goiana (PE)","71940"
"2606309","Granito (PE)","6123"
"2606408","Gravatá (PE)","67906"
"2606507","Iati (PE)","17580"
"2606606","Ibimirim (PE)","23857"
"2606705","Ibirajuba (PE)","7420"
"2606804","Igarassu (PE)","83424"
"2606903","Iguaracy (PE)","11514"
"2607000","Inajá (PE)","13513"
"2607109","Ingazeira (PE)","4583"
"2607208","Ipojuca (PE)","60925"
"2607307","Ipubi (PE)","23483"
"2607406","Itacuruba (PE)","3734"
"2607505","Itaíba (PE)","26738"
"2607604","Ilha de Itamaracá (PE)","16376"
"2607653","Itambé (PE)","35054"
"2607703","Itapetim (PE)","14654"
"2607752","Itapissuma (PE)","20590"
"2607802","Itaquitinga (PE)","15063"
"2607901","Jaboatão dos Guararapes (PE)","592297"
"2607950","Jaqueira (PE)","11801"
"2608008","Jataúba (PE)","14663"
"2608057","Jatobá (PE)","13386"
"2608107","João Alfredo (PE)","26920"
"2608206","Joaquim Nabuco (PE)","15948"
"2608255","Jucati (PE)","9894"
"2608305","Jupi (PE)","12396"
"2608404","Jurema (PE)","13844"
"2608453","Lagoa do Carro (PE)","13327"
"2608503","Lagoa de Itaenga (PE)","20325"
"2608602","Lagoa do Ouro (PE)","10926"
"2608701","Lagoa dos Gatos (PE)","16013"
"2608750","Lagoa Grande (PE)","19656"
"2608800","Lajedo (PE)","32498"
"2608909","Limoeiro (PE)","56478"
"2609006","Macaparana (PE)","22673"
"2609105","Machados (PE)","9926"
"2609154","Manari (PE)","13065"
"2609204","Maraial (PE)","14281"
"2609303","Mirandiba (PE)","13156"
"2609402","Moreno (PE)","50401"
"2609501","Nazaré da Mata (PE)","29547"
"2609600","Olinda (PE)","372014"
"2609709","Orobó (PE)","22675"
"2609808","Orocó (PE)","10834"
"2609907","Ouricuri (PE)","57078"
"2610004","Palmares (PE)","55467"
"2610103","Palmeirina (PE)","9665"
"2610202","Panelas (PE)","25703"
"2610301","Paranatama (PE)","10217"
"2610400","Parnamirim (PE)","19350"
"2610509","Passira (PE)","29131"
"2610608","Paudalho (PE)","45733"
"2610707","Paulista (PE)","268282"
"2610806","Pedra (PE)","20320"
"2610905","Pesqueira (PE)","57600"
"2611002","Petrolândia (PE)","27937"
"2611101","Petrolina (PE)","225199"
"2611200","Poção (PE)","11373"
"2611309","Pombos (PE)","23600"
"2611408","Primavera (PE)","11546"
"2611507","Quipapá (PE)","22341"
"2611533","Quixaba (PE)","6781"
"2611606","Recife (PE)","1437190"
"2611705","Riacho das Almas (PE)","18168"
"2611804","Ribeirão (PE)","41421"
"2611903","Rio Formoso (PE)","20976"
"2612000","Sairé (PE)","13434"
"2612109","Salgadinho (PE)","7284"
"2612208","Salgueiro (PE)","52087"
"2612307","Saloá (PE)","15027"
"2612406","Sanharó (PE)","15986"
"2612455","Santa Cruz (PE)","11390"
"2612471","Santa Cruz da Baixa Verde (PE)","10724"
"2612505","Santa Cruz do Capibaribe (PE)","61557"
"2612554","Santa Filomena (PE)","12366"
"2612604","Santa Maria da Boa Vista (PE)","37905"
"2612703","Santa Maria do Cambucá (PE)","11782"
"2612802","Santa Terezinha (PE)","10288"
"2612901","São Benedito do Sul (PE)","10550"
"2613008","São Bento do Una (PE)","45724"
"2613107","São Caitano (PE)","33874"
"2613206","São João (PE)","19846"
"2613305","São Joaquim do Monte (PE)","20219"
"2613404","São José da Coroa Grande (PE)","14250"
"2613503","São José do Belmonte (PE)","31720"
"2613602","São José do Egito (PE)","29537"
"2613701","São Lourenço da Mata (PE)","90894"
"2613800","São Vicente Férrer (PE)","16230"
"2613909","Serra Talhada (PE)","70702"
"2614006","Serrita (PE)","17695"
"2614105","Sertânia (PE)","31659"
"2614204","Sirinhaém (PE)","32879"
"2614303","Moreilândia (PE)","11066"
"2614402","Solidão (PE)","5502"
"2614501","Surubim (PE)","50756"
"2614600","Tabira (PE)","24191"
"2614709","Tacaimbó (PE)","13086"
"2614808","Tacaratu (PE)","17065"
"2614857","Tamandaré (PE)","17341"
"2615003","Taquaritinga do Norte (PE)","20043"
"2615102","Terezinha (PE)","6237"
"2615201","Terra Nova (PE)","7622"
"2615300","Timbaúba (PE)","56851"
"2615409","Toritama (PE)","22640"
"2615508","Tracunhaém (PE)","12434"
"2615607","Trindade (PE)","22298"
"2615706","Triunfo (PE)","15072"
"2615805","Tupanatinga (PE)","20980"
"2615904","Tuparetama (PE)","7845"
"2616001","Venturosa (PE)","13632"
"2616100","Verdejante (PE)","8935"
"2616183","Vertente do Lério (PE)","8535"
"2616209","Vertentes (PE)","15039"
"2616308","Vicência (PE)","28833"
"2616407","Vitória de Santo Antão (PE)","118894"
"2616506","Xexéu (PE)","13955"
"2700102","Água Branca (AL)","18696"
"2700201","Anadia (AL)","18023"
"2700300","Arapiraca (AL)","188988"
"2700409","Atalaia (AL)","40725"
"2700508","Barra de Santo Antônio (AL)","11745"
"2700607","Barra de São Miguel (AL)","6544"
"2700706","Batalha (AL)","15011"
"2700805","Belém (AL)","5918"
"2700904","Belo Monte (AL)","6792"
"2701001","Boca da Mata (AL)","24461"
"2701100","Branquinha (AL)","11700"
"2701209","Cacimbinhas (AL)","9325"
"2701308","Cajueiro (AL)","19026"
"2701357","Campestre (AL)","5860"
"2701407","Campo Alegre (AL)","41560"
"2701506","Campo Grande (AL)","9013"
"2701605","Canapi (AL)","17174"
"2701704","Capela (AL)","18623"
"2701803","Carneiros (AL)","6687"
"2701902","Chã Preta (AL)","7702"
"2702009","Coité do Nóia (AL)","12259"
"2702108","Colônia Leopoldina (AL)","17586"
"2702207","Coqueiro Seco (AL)","5163"
"2702306","Coruripe (AL)","44238"
"2702355","Craíbas (AL)","21151"
"2702405","Delmiro Gouveia (AL)","43220"
"2702504","Dois Riachos (AL)","11197"
"2702553","Estrela de Alagoas (AL)","16428"
"2702603","Feira Grande (AL)","21543"
"2702702","Feliz Deserto (AL)","3892"
"2702801","Flexeiras (AL)","11993"
"2702900","Girau do Ponciano (AL)","29820"
"2703007","Ibateguara (AL)","15068"
"2703106","Igaci (AL)","25525"
"2703205","Igreja Nova (AL)","21613"
"2703304","Inhapi (AL)","17830"
"2703403","Jacaré dos Homens (AL)","5841"
"2703502","Jacuípe (AL)","7286"
"2703601","Japaratinga (AL)","6840"
"2703700","Jaramataia (AL)","5963"
"2703759","Jequiá da Praia (AL)","12854"
"2703809","Joaquim Gomes (AL)","21131"
"2703908","Jundiá (AL)","4443"
"2704005","Junqueiro (AL)","24025"
"2704104","Lagoa da Canoa (AL)","20478"
"2704203","Limoeiro de Anadia (AL)","24850"
"2704302","Maceió (AL)","817444"
"2704401","Major Isidoro (AL)","17685"
"2704500","Maragogi (AL)","22491"
"2704609","Maravilha (AL)","13964"
"2704708","Marechal Deodoro (AL)","37172"
"2704807","Maribondo (AL)","15164"
"2704906","Mar Vermelho (AL)","4087"
"2705002","Mata Grande (AL)","24798"
"2705101","Matriz de Camaragibe (AL)","24350"
"2705200","Messias (AL)","12168"
"2705309","Minador do Negrão (AL)","5147"
"2705408","Monteirópolis (AL)","7374"
"2705507","Murici (AL)","24159"
"2705606","Novo Lino (AL)","9854"
"2705705","Olho d'Água das Flores (AL)","19867"
"2705804","Olho d'Água do Casado (AL)","7136"
"2705903","Olho d'Água Grande (AL)","4901"
"2706000","Olivença (AL)","10399"
"2706109","Ouro Branco (AL)","10167"
"2706208","Palestina (AL)","4628"
"2706307","Palmeira dos Índios (AL)","68270"
"2706406","Pão de Açúcar (AL)","24661"
"2706422","Pariconha (AL)","9371"
"2706448","Paripueira (AL)","8193"
"2706505","Passo de Camaragibe (AL)","13687"
"2706604","Paulo Jacinto (AL)","7531"
"2706703","Penedo (AL)","57550"
"2706802","Piaçabuçu (AL)","16743"
"2706901","Pilar (AL)","31391"
"2707008","Pindoba (AL)","2830"
"2707107","Piranhas (AL)","20704"
"2707206","Poço das Trincheiras (AL)","13437"
"2707305","Porto Calvo (AL)","24049"
"2707404","Porto de Pedras (AL)","10297"
"2707503","Porto Real do Colégio (AL)","18448"
"2707602","Quebrangulo (AL)","11954"
"2707701","Rio Largo (AL)","63450"
"2707800","Roteiro (AL)","6925"
"2707909","Santa Luzia do Norte (AL)","6452"
"2708006","Santana do Ipanema (AL)","42051"
"2708105","Santana do Mundaú (AL)","11470"
"2708204","São Brás (AL)","6580"
"2708303","São José da Laje (AL)","20942"
"2708402","São José da Tapera (AL)","27553"
"2708501","São Luís do Quitunde (AL)","29281"
"2708600","São Miguel dos Campos (AL)","42993"
"2708709","São Miguel dos Milagres (AL)","5972"
"2708808","São Sebastião (AL)","29651"
"2708907","Satuba (AL)","12970"
"2708956","Senador Rui Palmeira (AL)","12291"
"2709004","Tanque d'Arca (AL)","6481"
"2709103","Taquarana (AL)","17071"
"2709152","Teotônio Vilela (AL)","37741"
"2709202","Traipu (AL)","23529"
"2709301","União dos Palmares (AL)","58753"
"2709400","Viçosa (AL)","26592"
"2800100","Amparo de São Francisco (SE)","2217"
"2800209","Aquidabã (SE)","18598"
"2800308","Aracaju (SE)","468297"
"2800407","Arauá (SE)","9656"
"2800506","Areia Branca (SE)","15263"
"2800605","Barra dos Coqueiros (SE)","18435"
"2800670","Boquim (SE)","24337"
"2800704","Brejo Grande (SE)","7150"
"2801009","Campo do Brito (SE)","15355"
"2801108","Canhoba (SE)","3979"
"2801207","Canindé de São Francisco (SE)","18520"
"2801306","Capela (SE)","26617"
"2801405","Carira (SE)","17958"
"2801504","Carmópolis (SE)","9652"
"2801603","Cedro de São João (SE)","5409"
"2801702","Cristinápolis (SE)","15613"
"2801900","Cumbe (SE)","3685"
"2802007","Divina Pastora (SE)","3341"
"2802106","Estância (SE)","59502"
"2802205","Feira Nova (SE)","5142"
"2802304","Frei Paulo (SE)","12290"
"2802403","Gararu (SE)","11474"
"2802502","General Maynard (SE)","2433"
"2802601","Gracho Cardoso (SE)","5558"
"2802700","Ilha das Flores (SE)","8417"
"2802809","Indiaroba (SE)","13037"
"2802908","Itabaiana (SE)","78272"
"2803005","Itabaianinha (SE)","35643"
"2803104","Itabi (SE)","5205"
"2803203","Itaporanga d'Ajuda (SE)","26014"
"2803302","Japaratuba (SE)","14726"
"2803401","Japoatã (SE)","13340"
"2803500","Lagarto (SE)","84579"
"2803609","Laranjeiras (SE)","24114"
"2803708","Macambira (SE)","5906"
"2803807","Malhada dos Bois (SE)","3289"
"2803906","Malhador (SE)","11644"
"2804003","Maruim (SE)","15491"
"2804102","Moita Bonita (SE)","10952"
"2804201","Monte Alegre de Sergipe (SE)","11822"
"2804300","Muribeca (SE)","7151"
"2804409","Neópolis (SE)","18954"
"2804458","Nossa Senhora Aparecida (SE)","8235"
"2804508","Nossa Senhora da Glória (SE)","27338"
"2804607","Nossa Senhora das Dores (SE)","22456"
"2804706","Nossa Senhora de Lourdes (SE)","6192"
"2804805","Nossa Senhora do Socorro (SE)","138662"
"2804904","Pacatuba (SE)","11539"
"2805000","Pedra Mole (SE)","2685"
"2805109","Pedrinhas (SE)","8004"
"2805208","Pinhão (SE)","5344"
"2805307","Pirambu (SE)","7555"
"2805406","Poço Redondo (SE)","26728"
"2805505","Poço Verde (SE)","20234"
"2805604","Porto da Folha (SE)","25900"
"2805703","Propriá (SE)","27660"
"2805802","Riachão do Dantas (SE)","19449"
"2805901","Riachuelo (SE)","8434"
"2806008","Ribeirópolis (SE)","15596"
"2806107","Rosário do Catete (SE)","7268"
"2806206","Salgado (SE)","19252"
"2806305","Santa Luzia do Itanhy (SE)","14317"
"2806404","Santana do São Francisco (SE)","6170"
"2806503","Santa Rosa de Lima (SE)","3595"
"2806602","Santo Amaro das Brotas (SE)","10686"
"2806701","São Cristóvão (SE)","66654"
"2806800","São Domingos (SE)","9456"
"2806909","São Francisco (SE)","2569"
"2807006","São Miguel do Aleixo (SE)","3479"
"2807105","Simão Dias (SE)","37360"
"2807204","Siriri (SE)","6984"
"2807303","Telha (SE)","2689"
"2807402","Tobias Barreto (SE)","43822"
"2807501","Tomar do Geru (SE)","12296"
"2807600","Umbaúba (SE)","19656"
"2900108","Abaíra (BA)","9114"
"2900207","Abaré (BA)","13894"
"2900306","Acajutiba (BA)","14438"
"2900355","Adustina (BA)","14471"
"2900405","Água Fria (BA)","14793"
"2900504","Érico Cardoso (BA)","12315"
"2900603","Aiquara (BA)","5149"
"2900702","Alagoinhas (BA)","131179"
"2900801","Alcobaça (BA)","21470"
"2900900","Almadina (BA)","7504"
"2901007","Amargosa (BA)","31082"
"2901106","Amélia Rodrigues (BA)","24309"
"2901155","América Dourada (BA)","15943"
"2901205","Anagé (BA)","40621"
"2901304","Andaraí (BA)","13769"
"2901353","Andorinha (BA)","15557"
"2901403","Angical (BA)","14528"
"2901502","Anguera (BA)","8954"
"2901601","Antas (BA)","13677"
"2901700","Antônio Cardoso (BA)","11657"
"2901809","Antônio Gonçalves (BA)","9108"
"2901908","Aporá (BA)","16867"
"2901957","Apuarema (BA)","7350"
"2902005","Aracatu (BA)","15474"
"2902054","Araçás (BA)","11261"
"2902104","Araci (BA)","47836"
"2902203","Aramari (BA)","9449"
"2902252","Arataca (BA)","10896"
"2902302","Aratuípe (BA)","8445"
"2902401","Aurelino Leal (BA)","17130"
"2902500","Baianópolis (BA)","11957"
"2902609","Baixa Grande (BA)","20275"
"2902658","Banzaê (BA)","11113"
"2902708","Barra (BA)","44083"
"2902807","Barra da Estiva (BA)","25257"
"2902906","Barra do Choça (BA)","42770"
"2903003","Barra do Mendes (BA)","13501"
"2903102","Barra do Rocha (BA)","7871"
"2903201","Barreiras (BA)","116874"
"2903235","Barro Alto (BA)","12103"
"2903276","Barrocas (BA)","12303"
"2903300","Barro Preto (BA)","8357"
"2903409","Belmonte (BA)","19711"
"2903508","Belo Campo (BA)","18056"
"2903607","Biritinga (BA)","14628"
"2903706","Boa Nova (BA)","21463"
"2903805","Boa Vista do Tupim (BA)","18566"
"2903904","Bom Jesus da Lapa (BA)","55028"
"2903953","Bom Jesus da Serra (BA)","10554"
"2904001","Boninal (BA)","12310"
"2904050","Bonito (BA)","13128"
"2904100","Boquira (BA)","22390"
"2904209","Botuporã (BA)","12140"
"2904308","Brejões (BA)","15604"
"2904407","Brejolândia (BA)","8457"
"2904506","Brotas de Macaúbas (BA)","12846"
"2904605","Brumado (BA)","62181"
"2904704","Buerarema (BA)","18919"
"2904753","Buritirama (BA)","18416"
"2904803","Caatiba (BA)","16222"
"2904852","Cabaceiras do Paraguaçu (BA)","15672"
"2904902","Cachoeira (BA)","30574"
"2905008","Caculé (BA)","20643"
"2905107","Caém (BA)","12003"
"2905156","Caetanos (BA)","13489"
"2905206","Caetité (BA)","45838"
"2905305","Cafarnaum (BA)","15980"
"2905404","Cairu (BA)","10926"
"2905503","Caldeirão Grande (BA)","10857"
"2905602","Camacan (BA)","30308"
"2905701","Camaçari (BA)","166985"
"2905800","Camamu (BA)","33713"
"2905909","Campo Alegre de Lourdes (BA)","27884"
"2906006","Campo Formoso (BA)","61881"
"2906105","Canápolis (BA)","9766"
"2906204","Canarana (BA)","21677"
"2906303","Canavieiras (BA)","35395"
"2906402","Candeal (BA)","10049"
"2906501","Candeias (BA)","77829"
"2906600","Candiba (BA)","12063"
"2906709","Cândido Sales (BA)","29024"
"2906808","Cansanção (BA)","32107"
"2906824","Canudos (BA)","13758"
"2906857","Capela do Alto Alegre (BA)","11233"
"2906873","Capim Grosso (BA)","24361"
"2906899","Caraíbas (BA)","17250"
"2906907","Caravelas (BA)","20246"
"2907004","Cardeal da Silva (BA)","8234"
"2907103","Carinhanha (BA)","27327"
"2907202","Casa Nova (BA)","56689"
"2907301","Castro Alves (BA)","25111"
"2907400","Catolândia (BA)","3064"
"2907509","Catu (BA)","47127"
"2907558","Caturama (BA)","8941"
"2907608","Central (BA)","16616"
"2907707","Chorrochó (BA)","10241"
"2907806","Cícero Dantas (BA)","31387"
"2907905","Cipó (BA)","14520"
"2908002","Coaraci (BA)","28057"
"2908101","Cocos (BA)","17840"
"2908200","Conceição da Feira (BA)","17701"
"2908309","Conceição do Almeida (BA)","18905"
"2908408","Conceição do Coité (BA)","56757"
"2908507","Conceição do Jacuípe (BA)","26585"
"2908606","Conde (BA)","20934"
"2908705","Condeúba (BA)","18066"
"2908804","Contendas do Sincorá (BA)","4208"
"2908903","Coração de Maria (BA)","24042"
"2909000","Cordeiros (BA)","7793"
"2909109","Coribe (BA)","15258"
"2909208","Coronel João Sá (BA)","20059"
"2909307","Correntina (BA)","30896"
"2909406","Cotegipe (BA)","13406"
"2909505","Cravolândia (BA)","5016"
"2909604","Crisópolis (BA)","19259"
"2909703","Cristópolis (BA)","12607"
"2909802","Cruz das Almas (BA)","53939"
"2909901","Curaçá (BA)","29953"
"2910008","Dário Meira (BA)","15439"
"2910057","Dias d'Ávila (BA)","47037"
"2910107","Dom Basílio (BA)","10513"
"2910206","Dom Macedo Costa (BA)","3728"
"2910305","Elísio Medrado (BA)","7850"
"2910404","Encruzilhada (BA)","34293"
"2910503","Entre Rios (BA)","38717"
"2910602","Esplanada (BA)","27714"
"2910701","Euclides da Cunha (BA)","54106"
"2910727","Eunápolis (BA)","86115"
"2910750","Fátima (BA)","18370"
"2910776","Feira da Mata (BA)","6245"
"2910800","Feira de Santana (BA)","490307"
"2910859","Filadélfia (BA)","17133"
"2910909","Firmino Alves (BA)","5124"
"2911006","Floresta Azul (BA)","11326"
"2911105","Formosa do Rio Preto (BA)","18629"
"2911204","Gandu (BA)","27244"
"2911253","Gavião (BA)","4513"
"2911303","Gentio do Ouro (BA)","10054"
"2911402","Glória (BA)","14778"
"2911501","Gongogi (BA)","10637"
"2911600","Governador Mangabeira (BA)","17078"
"2911659","Guajeru (BA)","13429"
"2911709","Guanambi (BA)","72479"
"2911808","Guaratinga (BA)","24173"
"2911857","Heliópolis (BA)","13322"
"2911907","Iaçu (BA)","28732"
"2912004","Ibiassucê (BA)","12942"
"2912103","Ibicaraí (BA)","28647"
"2912202","Ibicoara (BA)","15154"
"2912301","Ibicuí (BA)","15052"
"2912400","Ibipeba (BA)","15135"
"2912509","Ibipitanga (BA)","13437"
"2912608","Ibiquera (BA)","4336"
"2912707","Ibirapitanga (BA)","21584"
"2912806","Ibirapuã (BA)","6945"
"2912905","Ibirataia (BA)","24974"
"2913002","Ibitiara (BA)","14101"
"2913101","Ibititá (BA)","17964"
"2913200","Ibotirama (BA)","24241"
"2913309","Ichu (BA)","5228"
"2913408","Igaporã (BA)","14629"
"2913457","Igrapiúna (BA)","15217"
"2913507","Iguaí (BA)","25370"
"2913606","Ilhéus (BA)","221654"
"2913705","Inhambupe (BA)","30027"
"2913804","Ipecaetá (BA)","18615"
"2913903","Ipiaú (BA)","43389"
"2914000","Ipirá (BA)","61596"
"2914109","Ipupiara (BA)","8598"
"2914208","Irajuba (BA)","6363"
"2914307","Iramaia (BA)","17501"
"2914406","Iraquara (BA)","18491"
"2914505","Irará (BA)","25329"
"2914604","Irecê (BA)","58152"
"2914653","Itabela (BA)","26221"
"2914703","Itaberaba (BA)","59503"
"2914802","Itabuna (BA)","197829"
"2914901","Itacaré (BA)","18065"
"2915007","Itaeté (BA)","13738"
"2915106","Itagi (BA)","14637"
"2915205","Itagibá (BA)","16856"
"2915304","Itagimirim (BA)","7693"
"2915353","Itaguaçu da Bahia (BA)","10889"
"2915403","Itaju do Colônia (BA)","8429"
"2915502","Itajuípe (BA)","22213"
"2915601","Itamaraju (BA)","63999"
"2915700","Itamari (BA)","8262"
"2915809","Itambé (BA)","31700"
"2915908","Itanagra (BA)","6459"
"2916005","Itanhém (BA)","21029"
"2916104","Itaparica (BA)","19420"
"2916203","Itapé (BA)","14525"
"2916302","Itapebi (BA)","11100"
"2916401","Itapetinga (BA)","58331"
"2916500","Itapicuru (BA)","27615"
"2916609","Itapitanga (BA)","10361"
"2916708","Itaquara (BA)","7937"
"2916807","Itarantim (BA)","15690"
"2916856","Itatim (BA)","13010"
"2916906","Itiruçu (BA)","13714"
"2917003","Itiúba (BA)","35691"
"2917102","Itororó (BA)","19653"
"2917201","Ituaçu (BA)","17392"
"2917300","Ituberá (BA)","24530"
"2917334","Iuiu (BA)","10441"
"2917359","Jaborandi (BA)","10067"
"2917409","Jacaraci (BA)","13464"
"2917508","Jacobina (BA)","76418"
"2917607","Jaguaquara (BA)","47476"
"2917706","Jaguarari (BA)","26935"
"2917805","Jaguaripe (BA)","13359"
"2917904","Jandaíra (BA)","10253"
"2918001","Jequié (BA)","147403"
"2918100","Jeremoabo (BA)","34469"
"2918209","Jiquiriçá (BA)","13841"
"2918308","Jitaúna (BA)","21010"
"2918357","João Dourado (BA)","18934"
"2918407","Juazeiro (BA)","179667"
"2918456","Jucuruçu (BA)","11906"
"2918506","Jussara (BA)","15437"
"2918555","Jussari (BA)","7421"
"2918605","Jussiape (BA)","10028"
"2918704","Lafaiete Coutinho (BA)","3978"
"2918753","Lagoa Real (BA)","12978"
"2918803","Laje (BA)","19738"
"2918902","Lajedão (BA)","3353"
"2919009","Lajedinho (BA)","4122"
"2919058","Lajedo do Tabocal (BA)","8290"
"2919108","Lamarão (BA)","9432"
"2919157","Lapão (BA)","25153"
"2919207","Lauro de Freitas (BA)","118678"
"2919306","Lençóis (BA)","9055"
"2919405","Licínio de Almeida (BA)","12108"
"2919504","Livramento de Nossa Senhora (BA)","38433"
"2919553","Luís Eduardo Magalhães (BA)","19212"
"2919603","Macajuba (BA)","11571"
"2919702","Macarani (BA)","14646"
"2919801","Macaúbas (BA)","42467"
"2919900","Macururé (BA)","8790"
"2919926","Madre de Deus (BA)","12499"
"2919959","Maetinga (BA)","14060"
"2920007","Maiquinique (BA)","6791"
"2920106","Mairi (BA)","19992"
"2920205","Malhada (BA)","15656"
"2920304","Malhada de Pedras (BA)","8565"
"2920403","Manoel Vitorino (BA)","16667"
"2920452","Mansidão (BA)","11135"
"2920502","Maracás (BA)","32159"
"2920601","Maragogipe (BA)","40508"
"2920700","Maraú (BA)","18450"
"2920809","Marcionílio Souza (BA)","10416"
"2920908","Mascote (BA)","15691"
"2921005","Mata de São João (BA)","32800"
"2921054","Matina (BA)","10375"
"2921104","Medeiros Neto (BA)","20980"
"2921203","Miguel Calmon (BA)","28682"
"2921302","Milagres (BA)","12447"
"2921401","Mirangaba (BA)","14206"
"2921450","Mirante (BA)","14380"
"2921500","Monte Santo (BA)","54655"
"2921609","Morpará (BA)","8738"
"2921708","Morro do Chapéu (BA)","34808"
"2921807","Mortugaba (BA)","12556"
"2921906","Mucugê (BA)","14085"
"2922003","Mucuri (BA)","29291"
"2922052","Mulungu do Morro (BA)","15286"
"2922102","Mundo Novo (BA)","20087"
"2922201","Muniz Ferreira (BA)","7022"
"2922250","Muquém do São Francisco (BA)","9151"
"2922300","Muritiba (BA)","31404"
"2922409","Mutuípe (BA)","20458"
"2922508","Nazaré (BA)","26428"
"2922607","Nilo Peçanha (BA)","11070"
"2922656","Nordestina (BA)","12102"
"2922706","Nova Canaã (BA)","15558"
"2922730","Nova Fátima (BA)","7155"
"2922755","Nova Ibiá (BA)","6732"
"2922805","Nova Itarana (BA)","6682"
"2922854","Nova Redenção (BA)","8377"
"2922904","Nova Soure (BA)","24329"
"2923001","Nova Viçosa (BA)","32857"
"2923035","Novo Horizonte (BA)","8262"
"2923050","Novo Triunfo (BA)","13941"
"2923100","Olindina (BA)","24176"
"2923209","Oliveira dos Brejinhos (BA)","21748"
"2923308","Ouriçangas (BA)","7579"
"2923357","Ourolândia (BA)","15737"
"2923407","Palmas de Monte Alto (BA)","20048"
"2923506","Palmeiras (BA)","6997"
"2923605","Paramirim (BA)","18876"
"2923704","Paratinga (BA)","28107"
